features.3,features.6,features.8,features.10,classifier.1,classifier.4,acc
6,2,2,7,2,7,0.8836172583983393
4,4,5,3,7,2,2.4916414583665003
7,3,2,3,2,5,0.8995382900811921
6,4,6,5,3,7,3.0647985989492144
3,4,2,5,7,2,0.9473013851297618
4,6,3,6,5,7,12.195510269065435
5,5,5,2,4,2,1.034867059385447
2,4,6,3,5,2,0.9552619009711827
6,3,5,7,5,2,0.9552619009711827
3,7,7,2,2,7,1.034867059385447
5,4,4,5,4,6,5.118611686037255
2,4,7,6,7,3,5.8669001751313505
6,2,6,6,7,3,5.484795414742871
4,4,6,4,2,7,0.8995382900811921
4,6,7,5,4,5,2.6747333227193137
7,2,4,4,3,4,1.1065117019582904
2,3,6,6,5,7,8.318739054290713
5,5,4,2,4,7,0.9632224168126147
2,5,5,2,3,7,0.9632224168126147
6,3,3,4,7,2,2.061773602929473
4,2,7,5,4,7,4.330520617736033
4,4,4,5,4,2,0.9074988059226241
7,2,2,6,3,6,1.0507880910682998
6,4,5,5,4,2,1.0189460277025941
5,2,4,4,2,6,1.026906543544026
5,4,6,2,5,3,1.0109855118611732
6,6,2,6,3,5,0.9313803534468978
5,4,6,7,2,2,0.9313803534468978
7,4,2,6,6,4,1.1622353128482699
7,7,7,7,3,5,2.181181340550864
4,4,2,6,7,5,8.85209361566629
6,3,6,6,2,5,0.8517751950326335
5,2,6,6,7,4,7.164464257283876
7,6,6,7,6,7,63.77169240566789
3,4,6,3,2,7,1.830918643528101
6,2,4,7,3,7,2.197102372233717
3,7,6,4,5,6,16.725043782837123
3,2,3,2,3,3,0.9950644801783204
4,7,6,7,6,2,1.9901289603566297
2,7,7,3,7,3,2.4597993950007946
2,5,2,7,3,3,0.8517751950326335
3,5,6,6,4,5,1.8786817385766597
4,4,6,6,4,3,0.9711829326540355
4,2,5,7,7,6,12.036299952236906
2,3,4,3,4,3,0.8995382900811921
3,7,6,6,6,7,51.03486705938545
7,5,4,3,3,3,1.0507880910682998
6,4,2,6,7,5,12.394523165101102
4,4,3,5,5,3,2.197102372233717
4,3,4,5,3,7,2.626970227670755
6,2,2,6,5,4,0.9950644801783204
2,5,7,4,7,2,2.4677599108422266
6,6,5,5,5,5,42.54099665658335
2,2,5,3,4,2,1.0030249960197413
5,4,2,4,4,6,1.034867059385447
2,7,4,5,7,6,15.841426524438784
7,4,4,2,2,2,0.9791434484954675
6,2,2,3,7,2,0.9074988059226241
3,6,6,5,5,5,17.68826619964974
6,4,6,5,6,2,3.0647985989492144
3,4,4,6,3,3,1.026906543544026
4,3,5,5,7,6,41.63349785066073
5,3,6,2,2,5,0.9791434484954675
4,3,4,7,6,5,28.411081038051268
6,4,2,6,7,2,1.1622353128482699
6,5,6,4,4,5,6.7743989810539755
5,2,2,3,3,3,0.9950644801783204
6,7,3,5,6,5,30.234039165737936
5,5,6,7,5,4,13.007482884890942
5,2,7,3,2,2,1.0189460277025941
2,4,7,3,4,7,1.1303932494825641
5,7,2,2,4,3,1.0189460277025941
2,3,7,2,5,2,1.026906543544026
7,6,2,7,3,4,0.923419837605477
3,3,5,4,2,5,1.4488138831396324
4,3,5,6,3,4,0.8915777742397712
5,6,3,7,7,7,43.99777105556441
5,4,3,3,3,3,0.8438146791912127
6,4,7,5,3,6,3.239929947460596
3,3,2,7,4,4,0.9791434484954675
7,4,4,4,7,5,37.517911160643216
5,6,5,2,7,6,5.1822958127686665
5,6,3,6,7,5,34.00732367457411
5,2,2,6,6,2,0.9552619009711827
6,2,3,6,6,6,8.955580321604838
4,2,5,2,6,7,0.9950644801783204
6,6,3,5,3,2,1.026906543544026
2,7,4,6,4,7,1.9184843177837974
6,2,3,2,4,6,0.8756567425569184
2,7,3,6,3,5,1.6398662633338668
5,5,7,3,6,5,24.032797325266674
6,2,2,5,6,4,1.146314281165417
5,5,6,6,6,4,48.49546250597039
7,4,6,6,6,6,57.35551663747811
5,4,6,4,4,7,7.331635089953825
6,4,4,6,2,4,0.9393408692883298
3,7,7,6,3,4,0.9871039643368884
3,7,2,7,4,3,1.0109855118611732
2,5,6,5,7,3,5.078809106830118
6,5,7,5,4,3,0.9074988059226241
3,5,3,4,3,4,1.026906543544026
5,3,3,2,7,6,3.017035503900656
7,2,4,3,2,3,0.8915777742397712
6,2,3,2,2,3,0.9074988059226241
5,5,5,6,4,3,0.9552619009711827
4,5,6,2,2,6,0.8597357108740655
2,2,3,4,3,4,0.7801305524598012
3,3,6,5,2,6,1.6796688425409934
5,2,6,5,5,3,1.034867059385447
2,4,7,6,5,6,8.056042031523647
4,4,4,7,2,2,1.026906543544026
3,7,5,6,6,3,7.976436873109383
7,3,7,4,3,4,0.8199331316669278
3,7,2,3,6,5,1.0985511861168584
5,5,5,5,4,6,22.615825505492758
5,4,3,4,5,7,12.330839038369689
6,6,4,7,4,3,0.9791434484954675
2,6,5,2,6,2,0.9074988059226241
3,6,3,7,3,6,1.950326381149503
3,3,5,5,4,6,6.583346600859741
5,3,7,4,3,4,0.8915777742397712
5,7,6,6,3,3,0.9473013851297618
7,7,4,5,7,2,2.993153956376371
7,6,6,5,5,7,51.76723451679669
7,5,5,4,6,5,48.68651488616462
6,5,5,4,7,7,56.225123387995545
4,3,7,4,7,3,10.603407100780126
3,3,7,2,7,6,4.824072599904472
5,5,2,3,2,7,0.9791434484954675
4,5,7,7,2,4,0.9473013851297618
7,6,4,7,3,7,2.6747333227193137
2,7,4,5,7,3,6.96545136124821
4,7,6,2,5,2,1.1224327336411433
5,7,6,4,3,4,0.923419837605477
6,2,2,2,6,5,0.9632224168126147
5,4,4,5,2,5,1.3612482088839362
5,5,4,6,3,6,2.316510109855119
4,5,4,5,5,4,4.386244228626013
3,4,7,7,4,5,2.8339436395478423
2,7,5,2,2,3,0.9393408692883298
5,3,3,7,2,3,1.034867059385447
7,4,3,4,4,2,0.923419837605477
5,5,3,4,4,6,5.548479541474283
4,6,4,3,4,4,0.9393408692883298
4,7,4,4,5,5,12.346760070052543
4,7,3,6,4,2,1.0109855118611732
2,3,6,2,5,3,1.0507880910682998
6,5,7,4,3,5,4.80815156822162
5,7,7,7,2,2,1.1383537653239961
6,3,5,4,2,5,1.6955898742238462
4,2,7,2,2,6,0.9871039643368884
5,7,6,2,3,5,1.154274797006849
7,5,6,3,4,4,0.9871039643368884
4,5,7,4,3,6,4.282757522687475
7,2,6,3,5,3,0.8438146791912127
3,2,6,6,6,4,5.150453749402962
4,4,7,2,3,3,1.042827575226879
6,4,6,3,7,7,31.794300270657537
7,6,7,7,7,2,7.602292628562335
3,5,3,4,5,4,2.276707530647981
7,6,7,2,5,6,0.9950644801783204
5,4,2,7,7,6,15.467282279891737
7,2,7,3,7,2,0.9791434484954675
5,7,3,5,5,5,8.255054927559302
5,2,6,6,7,6,15.379716605636041
2,2,4,4,3,7,2.730456933609293
7,3,4,7,3,5,2.085655150453747
2,5,2,5,2,4,0.9074988059226241
2,7,7,5,5,5,5.827097595924213
4,6,5,7,5,6,46.98296449609934
5,6,5,4,5,3,2.738417449450725
5,4,6,4,3,6,3.43098232765483
3,4,4,5,6,7,24.797006846043622
4,5,7,7,6,3,24.948256647030732
3,2,2,4,2,2,0.915459321764045
4,5,7,2,6,7,2.738417449450725
7,3,5,3,2,4,1.034867059385447
7,2,4,2,3,4,1.1065117019582904
4,5,2,3,3,3,1.0189460277025941
3,7,2,7,4,7,1.1224327336411433
6,7,2,5,7,2,0.9313803534468978
5,3,6,3,2,3,0.9552619009711827
7,2,3,4,7,4,3.9484158573475536
5,4,5,5,3,5,2.6030886801464703
5,7,4,7,7,3,19.160961630313643
4,3,5,6,6,6,41.70514249323356
3,2,2,7,4,6,0.9473013851297618
7,5,7,5,2,7,1.0587486069097318
2,2,7,3,6,4,2.961311893010665
6,4,3,7,4,4,1.1383537653239961
4,3,3,2,4,5,1.0746696385925847
3,5,7,7,2,5,1.735392453430984
6,7,4,4,7,2,4.577296608820247
2,2,4,3,6,2,1.0587486069097318
4,5,6,6,2,3,1.026906543544026
6,4,2,3,6,2,1.026906543544026
7,2,2,2,6,4,1.0826301544340056
6,6,7,7,3,3,0.9791434484954675
2,7,6,2,7,5,0.9632224168126147
4,2,5,4,5,7,6.567425569176888
5,2,3,5,7,4,5.787295016717087
5,7,3,3,7,5,12.736825346282444
2,6,3,5,2,5,1.719471421748131
4,7,5,3,5,2,0.9313803534468978
7,3,4,3,7,7,17.099188027384173
5,5,4,3,2,6,1.600063684126729
5,7,2,6,3,4,1.1065117019582904
6,2,7,7,5,4,1.1065117019582904
3,6,5,4,3,5,2.7941410603407046
6,6,7,7,3,5,1.0587486069097318
7,2,5,4,4,4,0.8915777742397712
7,7,4,5,7,3,22.13819455500716
2,4,4,2,5,3,1.0826301544340056
5,6,4,5,7,5,50.6607228148384
3,2,4,6,7,3,4.099665658334661
7,5,2,4,3,6,1.0905906702754375
6,5,4,5,6,2,2.2448654672822754
4,4,4,6,6,3,11.439261264129918
4,5,3,6,6,5,28.69765960834262
2,4,6,2,4,6,1.0746696385925847
2,2,6,6,6,5,7.634134691928041
3,5,5,7,6,3,7.809266040439422
7,6,3,6,6,3,9.170514249323357
6,2,6,3,4,6,0.9313803534468978
6,2,2,2,5,4,1.1940773762139756
5,4,3,7,6,5,28.275752268747013
2,5,3,3,2,3,0.8836172583983393
6,3,2,5,7,4,1.1065117019582904
4,6,4,4,7,6,48.535265085177514
2,5,6,3,7,6,8.422225760229264
6,3,7,7,3,4,1.0030249960197413
6,2,3,3,4,3,1.042827575226879
6,6,7,2,6,7,5.293743034548637
7,4,2,3,3,5,0.9393408692883298
7,5,2,3,5,5,0.9871039643368884
6,4,6,3,2,5,0.8915777742397712
4,2,2,4,4,5,1.0746696385925847
7,4,6,2,7,4,1.0189460277025941
3,6,7,6,5,3,1.9264448336252182
2,7,5,7,3,2,1.0109855118611732
4,4,7,5,5,5,28.58621238656265
4,7,4,2,5,3,0.9552619009711827
2,3,3,6,3,5,1.0826301544340056
4,3,2,2,6,2,1.2020378920554076
4,4,7,6,3,5,2.778220028657852
3,4,4,2,7,5,0.9393408692883298
7,2,5,5,3,5,0.923419837605477
6,7,3,5,2,4,1.0587486069097318
6,6,2,6,4,4,0.9632224168126147
4,3,4,6,5,2,1.026906543544026
2,3,7,4,2,5,1.2736825346282399
5,4,3,6,6,7,37.430345486387516
3,4,3,5,6,2,2.173220824709443
5,6,7,3,3,4,0.923419837605477
5,3,6,7,2,6,0.9393408692883298
4,2,2,3,4,3,0.8517751950326335
2,3,3,4,2,2,1.0189460277025941
7,7,3,6,6,5,31.794300270657537
2,2,7,3,6,2,1.154274797006849
5,2,3,6,3,3,1.1224327336411433
2,6,5,2,5,4,1.0905906702754375
7,5,7,7,5,3,2.5712466167807646
2,2,5,3,4,6,2.0378920554051883
6,3,2,3,3,7,1.0507880910682998
4,6,5,6,3,6,2.8100620920235686
2,5,7,4,4,3,0.9313803534468978
6,4,3,4,3,6,3.1921668524120372
5,3,6,3,3,4,0.8676962267154864
6,7,7,7,5,3,2.650851775195029
2,4,6,5,7,2,3.4867059385448207
2,4,4,2,3,6,1.1224327336411433
7,5,5,4,3,4,0.9950644801783204
5,5,3,2,5,6,0.9313803534468978
7,6,2,3,7,4,1.034867059385447
2,2,5,2,3,7,0.915459321764045
6,3,3,3,6,2,1.0746696385925847
4,6,3,5,2,3,1.034867059385447
4,2,4,5,6,3,3.0329565355835086
2,2,2,4,7,3,1.1224327336411433
7,4,2,6,3,6,1.1861168603725547
6,5,4,4,4,3,1.0826301544340056
5,4,3,7,4,2,1.042827575226879
7,5,6,6,7,2,10.125776150294541
3,2,2,6,6,5,0.915459321764045
7,3,6,3,6,6,18.52412036299952
7,5,4,7,7,6,56.69479382263971
2,7,7,7,4,4,0.9473013851297618
6,7,4,6,2,7,1.146314281165417
7,3,5,7,7,4,21.700366183728704
5,7,3,4,4,2,0.8358541633497807
3,5,7,3,7,2,1.034867059385447
7,2,6,4,5,3,0.9632224168126147
2,5,6,7,4,5,0.9473013851297618
3,4,6,3,5,7,6.846043623626807
3,7,2,7,2,6,0.8756567425569184
2,5,5,6,5,6,9.441171787931857
5,5,6,6,7,4,50.16717083266995
6,2,6,5,2,6,0.8836172583983393
5,7,3,4,2,3,1.0109855118611732
6,6,5,4,2,7,2.0458525712466202
2,6,7,4,7,6,15.992676325425892
5,7,4,2,6,7,2.754338481133578
5,6,2,4,2,3,1.0109855118611732
2,6,2,6,7,3,0.923419837605477
2,5,3,6,2,7,1.3134851138353776
2,3,2,4,3,6,0.9313803534468978
5,7,5,2,6,2,0.923419837605477
7,7,5,5,5,3,2.435917847476521
4,5,2,7,4,2,1.1781563445311227
6,2,7,2,4,4,0.9632224168126147
7,5,2,3,7,3,0.9074988059226241
3,7,7,7,2,6,2.0140105078809145
5,5,3,6,2,7,1.0746696385925847
2,3,2,4,4,6,0.923419837605477
5,5,6,3,6,2,1.7513134851138368
4,6,5,5,5,2,0.8915777742397712
7,7,5,3,3,3,1.0109855118611732
3,3,6,4,3,2,0.8278936475083598
5,7,7,2,4,2,1.026906543544026
7,4,7,3,4,3,0.915459321764045
7,3,2,3,4,6,0.9074988059226241
5,4,6,4,7,5,44.865467282279894
2,2,4,4,6,2,1.846839675210954
6,2,6,7,7,6,15.077217003661836
6,7,3,5,4,3,0.9632224168126147
2,6,3,3,6,2,1.0746696385925847
6,2,6,3,3,2,0.8995382900811921
6,5,5,2,5,4,1.0189460277025941
7,3,7,3,3,7,0.9313803534468978
3,3,7,3,3,6,1.3214456296767985
3,6,6,2,2,6,0.9393408692883298
2,7,4,6,6,2,1.958286896990924
3,7,3,4,7,2,2.205062888075149
3,7,2,5,7,7,1.2498009871039661
3,7,2,4,3,5,1.034867059385447
7,2,4,4,6,3,1.950326381149503
3,5,4,6,7,7,41.57777423977074
3,7,3,6,6,2,2.3881547524279623
3,7,2,7,5,7,0.8995382900811921
2,2,5,4,3,7,3.3115745900334392
5,6,2,5,3,4,1.0667091227511527
3,2,3,2,5,6,1.0109855118611732
5,3,3,5,7,2,4.059863079127524
2,3,2,7,3,3,1.1144722177997113
4,2,7,2,3,4,1.0587486069097318
6,2,7,4,6,2,1.034867059385447
7,3,7,5,4,2,0.9393408692883298
6,3,5,4,5,7,17.401687629358385
7,3,7,7,5,5,17.65642413628403
6,2,3,7,5,2,1.1622353128482699
3,7,6,4,2,3,0.9074988059226241
4,5,5,6,7,6,59.719789842381786
5,7,3,3,7,7,18.69925171151091
5,5,3,7,5,3,0.9871039643368884
5,2,7,5,7,4,8.812291036459163
6,5,6,7,6,4,48.50342302181181
7,4,6,2,7,5,1.0507880910682998
4,5,6,6,6,3,24.812927877726477
3,2,4,6,2,6,1.1303932494825641
6,6,5,2,7,2,1.0030249960197413
7,4,2,7,6,7,16.76484636204426
3,7,4,2,4,2,0.8756567425569184
7,6,5,3,2,7,1.026906543544026
7,3,6,5,4,2,1.1065117019582904
3,2,2,3,3,6,0.9950644801783204
3,5,2,2,5,5,0.9791434484954675
4,7,4,2,6,3,1.0030249960197413
4,6,4,4,6,2,2.2289444355994226
3,7,7,3,2,3,0.9632224168126147
7,3,6,4,2,5,1.3055245979939456
6,2,5,4,2,4,1.034867059385447
5,6,5,7,7,4,49.06065913071167
3,2,6,6,3,6,1.5284190415538967
3,7,6,4,7,2,2.6030886801464703
4,2,4,5,7,2,2.4916414583665003
4,4,4,4,6,2,3.6140741920076436
2,6,4,7,2,4,1.0030249960197413
2,2,4,4,3,3,0.9313803534468978
7,7,2,5,3,6,0.9871039643368884
4,7,5,4,7,4,32.041076261741765
6,6,6,7,6,3,31.213182614233403
3,2,6,7,6,6,11.853208087884093
5,6,4,5,3,4,1.0746696385925847
3,4,7,5,4,4,1.146314281165417
6,5,2,4,7,5,2.7224964177678723
3,5,2,2,3,3,0.8995382900811921
5,6,5,3,4,6,2.4757204266836474
7,2,3,5,4,4,1.042827575226879
2,3,4,5,4,6,5.062888075147265
2,5,7,7,7,3,5.08676962267155
4,7,4,4,6,6,45.30329565355835
3,6,6,4,4,6,4.338481133577455
7,4,2,6,3,2,1.0826301544340056
3,3,7,6,3,2,0.9074988059226241
4,7,5,4,3,6,3.0568380831077824
4,5,4,3,6,3,3.2558509791434487
5,5,3,3,5,4,1.9344053494666502
6,3,2,7,6,6,12.625378124502474
4,4,6,6,2,3,0.9074988059226241
7,7,3,7,7,5,34.97850660722814
3,4,4,2,6,6,2.746377965292146
3,6,2,5,2,7,1.0826301544340056
2,4,6,7,4,6,3.550390065276232
3,6,4,2,5,6,1.034867059385447
3,6,7,5,5,5,16.756885846202827
5,5,4,2,5,3,0.9711829326540355
7,3,6,4,3,7,3.5901926444833587
2,5,7,3,7,3,1.1383537653239961
6,2,5,7,3,4,0.9473013851297618
7,4,3,3,2,7,0.811972615825507
6,3,6,3,5,3,0.9393408692883298
5,6,4,3,3,7,2.1254577296608845
3,6,6,2,7,3,1.1701958286897018
4,2,7,5,7,5,13.341824550230852
4,5,3,2,5,7,1.1303932494825641
5,5,4,4,2,5,1.3453271772010833
5,2,5,7,7,4,7.753542429549432
4,2,2,7,6,4,1.042827575226879
2,3,7,7,7,2,2.9294698296449595
7,4,4,4,2,3,1.0189460277025941
2,7,5,3,7,4,3.558350581117653
4,2,7,6,2,4,0.9632224168126147
6,6,7,3,6,2,1.958286896990924
4,6,3,4,2,6,1.838879159369522
5,5,5,6,3,4,0.9632224168126147
3,7,4,5,6,4,14.042349944276388
6,3,4,5,6,6,38.39356790320013
5,4,5,3,4,7,2.993153956376371
5,5,2,6,7,6,13.99458684922783
6,7,7,4,3,7,5.238019423658658
2,2,7,5,5,2,1.026906543544026
4,2,3,5,3,3,0.8756567425569184
6,6,6,7,7,6,64.24932335615348
7,4,5,5,3,3,0.9473013851297618
6,5,5,5,6,4,46.23467600700525
4,2,2,4,6,4,1.026906543544026
2,3,4,4,4,5,2.0219710237223354
4,7,7,5,3,3,1.1303932494825641
4,5,6,6,7,5,56.49578092660404
6,6,6,6,4,7,25.37812450246776
2,4,6,2,6,2,0.9473013851297618
5,6,2,3,4,5,0.9552619009711827
7,2,3,2,6,6,0.9313803534468978
3,3,4,3,6,6,9.090909090909093
2,7,4,4,7,4,7.46696385925808
7,3,5,4,4,6,6.4400573157140535
7,3,6,7,4,7,5.508676962267156
3,6,7,4,4,6,5.500716446425724
6,2,2,7,3,7,0.8995382900811921
2,2,3,3,6,7,3.7573634771533193
3,3,4,4,7,4,10.38847317306162
6,7,3,2,2,7,0.923419837605477
6,6,3,3,6,7,17.21063524916414
7,2,4,5,6,3,4.601178156344532
5,5,5,7,6,3,29.398185002388153
4,7,5,4,7,2,2.634930743512176
5,5,3,2,3,2,0.9950644801783204
7,4,7,2,7,6,3.3991402642891244
4,3,2,3,5,6,0.9473013851297618
4,3,4,6,7,5,30.0429867855437
2,6,2,3,4,3,0.9393408692883298
2,2,3,5,3,7,2.8419041553892743
4,3,3,6,5,5,5.874860690972772
7,4,3,6,7,5,30.671867537016396
7,3,5,4,3,6,3.112561693997773
6,3,2,3,7,7,0.915459321764045
4,4,6,6,7,4,37.0641617576819
5,6,2,3,7,7,3.2638114949848696
3,5,4,7,4,3,1.0746696385925847
4,6,6,7,4,2,0.9632224168126147
4,3,3,2,6,4,0.9791434484954675
6,7,6,2,5,5,1.0587486069097318
2,6,3,2,4,7,1.1622353128482699
7,7,7,7,3,4,1.0985511861168584
5,3,4,5,5,6,20.227670753064796
5,2,2,6,5,3,1.0667091227511527
5,2,5,3,3,2,1.0030249960197413
5,6,7,3,3,7,0.9711829326540355
2,3,4,2,4,7,1.042827575226879
3,7,5,4,3,3,0.9711829326540355
3,3,7,2,3,6,1.0826301544340056
7,3,2,5,5,2,0.9950644801783204
2,2,6,3,5,6,3.3991402642891244
3,3,2,3,5,6,0.9473013851297618
5,4,5,7,5,5,34.524757204266834
2,4,7,3,3,4,1.0030249960197413
4,7,2,6,5,7,0.9711829326540355
2,4,2,4,2,4,0.9074988059226241
5,4,2,2,6,3,1.0189460277025941
3,6,3,7,4,2,1.0507880910682998
7,2,6,7,2,5,0.9393408692883298
6,2,6,4,4,7,2.7224964177678723
2,2,5,6,3,2,0.9632224168126147
6,4,3,4,7,7,29.87581595287374
6,2,3,2,5,3,1.0189460277025941
2,6,2,4,6,4,1.0826301544340056
4,3,4,4,7,5,22.40089157777424
4,4,4,6,3,5,2.6667728068778818
3,5,5,6,2,5,1.5682216207610233
7,3,2,3,3,3,1.0109855118611732
2,6,6,4,6,2,1.0507880910682998
7,6,6,3,6,7,39.07021174972138
4,7,4,7,7,4,32.44706256965452
3,2,2,4,4,3,1.042827575226879
5,3,4,5,7,4,17.982805285782522
7,2,6,7,5,7,9.711829326540355
4,2,6,4,2,5,1.0826301544340056
3,2,4,2,4,7,1.1861168603725547
7,7,5,7,2,7,1.1303932494825641
2,5,2,2,6,6,1.0905906702754375
4,6,3,5,6,6,37.589555803216044
7,3,6,7,6,5,37.17560897946187
5,5,7,6,3,6,5.269861487024363
6,5,4,6,2,7,1.0189460277025941
6,6,4,3,3,3,0.9313803534468978
4,3,4,7,5,6,18.48431778379239
7,7,6,7,3,6,4.569336092978826
4,4,5,5,6,7,54.983282916733
4,6,6,7,7,2,3.7653239929947513
2,7,5,5,2,4,1.0507880910682998
2,4,3,7,7,6,11.208406304728546
5,4,5,2,2,4,1.0507880910682998
4,4,5,6,3,7,5.763413469192802
3,3,7,6,6,6,24.900493551982173
4,4,3,6,3,2,0.8836172583983393
6,3,7,7,2,7,1.0507880910682998
6,3,6,2,3,7,0.9871039643368884
4,5,7,4,3,5,2.396115268269383
4,4,7,3,6,6,25.465690176723456
3,2,7,6,3,2,1.1701958286897018
7,3,5,6,3,6,3.335456137557713
2,3,5,6,3,6,1.4806559465053382
7,6,7,2,2,2,0.8836172583983393
7,5,7,4,2,7,0.915459321764045
3,6,7,5,3,7,2.1174972138194526
2,4,3,3,6,5,6.344531125616937
2,6,6,4,6,5,11.431300748288486
6,3,4,4,6,6,30.687788568699247
3,2,3,5,7,4,4.8877567266358835
5,4,4,3,4,3,1.026906543544026
4,6,7,5,7,2,3.231969431619164
5,6,5,4,7,2,5.333545613755774
5,7,3,3,5,3,0.9552619009711827
6,3,5,3,4,5,2.3642732049036774
6,4,3,4,4,6,5.357427161280048
4,3,4,3,6,5,11.972615825505494
7,2,3,5,3,5,0.9950644801783204
5,6,7,5,5,3,3.4787454227033887
6,7,2,2,5,6,1.0905906702754375
4,4,6,4,5,3,2.6747333227193137
6,5,6,3,6,5,24.900493551982173
2,6,7,7,7,5,14.83044101257761
7,4,7,5,7,2,3.120522209839194
3,6,4,3,3,4,0.9791434484954675
3,6,4,6,4,2,1.0189460277025941
7,4,5,2,2,6,0.9791434484954675
6,4,2,7,4,2,0.9711829326540355
5,7,7,6,7,4,51.48065594650533
5,3,7,4,2,4,0.9791434484954675
2,7,7,7,7,5,15.841426524438784
6,5,6,6,5,4,14.193599745263496
2,6,6,2,2,5,0.9871039643368884
5,4,5,7,7,6,57.96051584142652
3,4,7,2,7,4,1.034867059385447
7,4,5,2,6,7,3.080719630632067
5,2,4,3,3,5,1.0189460277025941
6,5,4,7,6,5,49.73730297723292
4,7,5,3,6,6,31.889826460754655
5,4,2,4,7,4,0.9313803534468978
5,2,5,4,3,7,1.623945231651014
7,4,4,6,7,3,17.218595765005574
7,5,6,4,3,6,5.046967043464412
2,7,6,6,2,5,0.9632224168126147
7,7,3,7,6,6,42.74000955261901
2,6,2,6,4,4,0.9871039643368884
7,5,5,6,3,5,1.2338799554211133
4,6,2,3,3,7,1.1224327336411433
3,6,4,3,6,5,9.871039643368896
6,4,4,2,3,3,1.0905906702754375
2,2,5,7,2,7,2.1334182455023054
2,2,4,3,3,4,0.8915777742397712
2,3,4,2,5,7,0.9950644801783204
6,2,6,3,5,4,1.1303932494825641
5,6,2,4,5,5,1.0826301544340056
2,7,3,6,5,3,1.9901289603566297
4,2,3,4,4,7,1.0587486069097318
5,5,5,3,4,3,0.9871039643368884
2,4,4,4,3,3,0.9791434484954675
5,3,7,5,6,3,8.430186276070694
5,5,7,2,7,3,0.8756567425569184
4,4,3,6,6,5,25.187072122273523
5,7,4,5,3,7,2.396115268269383
7,4,7,5,4,6,5.301703550390069
3,4,3,5,7,5,16.541951918484322
7,4,3,7,2,5,0.9871039643368884
5,7,5,7,7,4,0.9871039643368884
