l1,l2,l3,l4,l5,l6,l7,acc
4,8,3,3,6,3,3,10.88
4,6,8,5,3,8,8,9.899999999999999
4,8,5,8,3,3,4,9.58
8,3,8,4,4,3,8,10.640000000000004
3,8,3,5,3,8,8,10.060000000000002
5,5,6,8,5,8,4,69.44
3,5,4,5,3,8,6,10.119999999999996
8,6,5,4,3,8,4,10.780000000000001
6,5,6,4,5,5,4,22.46
6,8,5,8,5,3,8,10.68
8,3,8,5,4,4,4,9.940000000000005
4,6,3,4,3,5,6,9.340000000000003
6,4,4,8,8,8,6,70.76
6,4,5,6,5,5,3,9.960000000000003
5,5,8,5,3,8,5,10.240000000000006
5,4,8,5,5,3,8,10.119999999999996
4,8,6,3,4,6,3,10.440000000000005
4,8,6,5,4,8,4,18.14
8,4,5,8,3,8,6,9.660000000000002
3,3,8,8,4,5,6,10.040000000000004
3,5,6,4,5,8,5,28.939999999999998
6,4,8,5,6,5,8,77.94
6,3,5,6,8,8,4,9.919999999999995
8,6,4,8,3,6,8,10.299999999999997
4,3,5,8,5,8,6,38.7
4,3,8,3,5,3,5,10.119999999999996
8,8,6,5,4,4,5,26.52
8,6,8,5,8,5,8,86.02
5,3,4,3,6,8,6,10.08
3,3,8,5,6,3,5,9.219999999999995
3,4,5,3,6,5,6,10.060000000000002
5,6,5,6,4,5,5,65.22
5,6,5,4,6,4,3,10.099999999999998
3,8,3,4,6,5,6,9.940000000000005
6,8,8,3,5,8,6,27.580000000000005
8,3,8,4,5,8,4,10.540000000000004
4,4,3,8,3,4,6,9.119999999999994
5,5,8,6,8,6,4,74.9
5,4,4,6,6,5,5,65.88000000000001
8,6,3,4,8,4,6,10.08
5,5,3,4,5,8,8,9.78
5,3,6,6,4,5,8,10.460000000000003
6,8,3,6,3,4,6,9.940000000000005
6,3,3,6,5,4,6,9.68
4,5,5,4,8,6,6,64.68
6,4,8,6,3,8,4,9.599999999999998
5,6,6,5,5,6,4,67.17999999999999
6,6,3,4,3,6,8,10.58
5,8,3,3,5,8,3,10.440000000000005
4,6,6,6,3,8,3,10.740000000000006
5,3,5,4,8,6,3,10.58
8,4,6,4,3,6,6,10.399999999999999
3,4,4,4,8,3,6,9.919999999999995
4,4,6,8,5,4,8,49.53999999999999
4,5,8,5,5,4,3,10.719999999999995
4,8,8,4,3,5,3,9.860000000000003
8,6,3,8,3,5,4,9.299999999999997
8,5,4,4,8,5,3,10.98
5,8,5,5,3,6,5,9.68
8,5,5,3,6,8,8,45.52
3,8,5,6,6,6,8,64.88000000000001
4,3,8,3,3,4,5,9.799999999999997
6,5,5,8,5,4,5,65.0
3,5,5,4,8,3,6,10.360000000000003
6,3,8,6,5,6,5,33.660000000000004
4,8,3,6,6,6,5,25.339999999999996
4,5,6,4,3,8,5,9.379999999999999
6,5,3,6,3,6,6,10.399999999999999
8,5,4,5,5,4,5,42.559999999999995
3,3,5,8,4,4,5,9.519999999999996
4,5,5,5,3,5,6,9.699999999999998
6,4,6,5,4,3,8,9.879999999999999
8,4,6,4,5,8,8,55.42
3,5,3,6,4,8,4,10.599999999999998
4,5,3,5,8,4,5,9.760000000000002
4,8,6,3,3,6,4,9.060000000000002
3,4,3,8,8,8,5,9.340000000000003
4,8,3,5,6,5,8,16.220000000000002
3,6,3,6,6,4,5,9.899999999999999
5,4,5,6,5,3,5,9.660000000000002
8,3,4,3,4,5,6,10.280000000000001
6,5,4,5,3,6,5,9.840000000000003
8,3,6,6,6,5,6,42.04
5,3,8,5,3,6,5,9.660000000000002
6,5,6,8,6,4,6,71.28
6,8,4,5,6,5,4,46.58
5,6,5,6,3,8,4,9.860000000000003
3,3,4,3,8,5,4,10.099999999999998
4,5,6,3,6,3,6,9.199999999999998
5,5,3,6,8,8,6,41.6
4,6,5,3,4,4,5,10.060000000000002
8,3,3,5,5,6,5,9.960000000000003
3,3,5,5,6,6,8,24.7
8,6,8,8,5,4,3,9.999999999999998
6,8,8,5,6,3,8,10.38
3,8,4,3,4,5,4,9.719999999999995
3,8,5,4,8,6,8,38.82
3,6,8,6,6,3,5,9.399999999999997
4,3,8,6,8,8,3,9.360000000000001
4,3,8,3,5,6,5,9.419999999999995
5,4,8,8,5,5,5,77.03999999999999
5,6,3,6,6,4,5,9.719999999999995
3,5,3,6,8,3,3,9.68
8,6,6,3,4,4,5,9.999999999999998
3,3,3,4,5,3,5,9.940000000000005
5,4,3,4,3,5,5,10.240000000000006
4,8,8,3,5,6,6,13.680000000000003
8,4,3,5,4,5,4,9.98
4,5,3,5,6,5,5,9.899999999999999
5,5,8,5,6,3,8,9.419999999999995
6,5,6,3,3,6,6,10.019999999999996
3,4,6,8,3,8,8,10.140000000000004
3,8,8,8,5,8,4,27.559999999999995
8,4,8,4,8,4,6,10.540000000000004
4,3,5,3,8,5,8,9.540000000000004
3,6,4,4,4,5,3,10.340000000000005
4,3,8,6,4,6,6,11.119999999999997
3,3,6,4,4,4,8,10.019999999999996
5,6,3,6,5,4,8,10.340000000000005
6,5,4,8,6,3,5,9.899999999999999
3,5,3,6,6,3,8,9.340000000000003
5,6,8,3,6,6,6,33.160000000000004
6,3,6,5,3,8,3,10.38
6,5,4,5,4,8,5,51.64
5,3,3,3,4,8,3,9.560000000000002
5,8,6,6,5,4,4,35.260000000000005
5,3,6,8,5,5,5,26.919999999999998
4,3,3,4,5,8,6,9.960000000000003
4,4,8,3,3,8,5,10.160000000000002
8,5,4,5,3,3,4,10.18
6,6,8,8,3,5,6,9.58
5,5,3,3,6,4,5,10.460000000000003
3,8,4,8,6,3,3,10.119999999999996
8,4,5,5,8,3,3,9.699999999999998
8,6,5,8,8,8,3,10.460000000000003
8,6,4,4,6,8,8,59.06
5,3,5,4,5,4,8,9.619999999999996
6,4,5,6,4,5,6,54.89999999999999
5,3,3,6,8,5,3,9.98
4,4,6,6,4,5,4,10.860000000000003
3,8,8,3,3,4,3,9.46
5,6,5,6,3,3,4,10.540000000000004
8,8,6,3,8,8,5,12.980000000000002
4,4,6,5,4,8,8,53.78000000000001
3,5,3,8,8,4,8,9.819999999999995
6,6,3,6,6,6,5,36.019999999999996
3,4,3,5,5,3,3,10.299999999999997
4,3,6,6,5,3,3,9.140000000000004
4,4,5,6,5,5,8,72.24
6,5,5,3,5,8,6,25.739999999999995
4,5,8,5,8,3,6,9.940000000000005
8,8,6,5,8,6,8,87.64
6,3,3,6,5,4,8,9.48
6,3,3,3,6,3,4,9.940000000000005
5,6,8,6,4,4,8,37.8
4,5,8,4,5,6,5,60.24
5,5,6,4,6,5,8,65.44
6,5,5,5,3,6,3,10.399999999999999
4,6,4,3,6,5,6,9.299999999999997
3,8,6,8,5,5,4,20.299999999999997
5,5,8,8,3,3,4,9.960000000000003
5,8,6,8,8,6,4,76.3
5,8,5,3,8,6,3,10.299999999999997
5,6,4,3,8,6,3,10.280000000000001
4,4,6,6,8,5,4,47.199999999999996
6,4,5,5,8,6,3,9.640000000000004
6,3,4,5,3,6,3,10.240000000000006
4,4,5,3,3,3,4,9.519999999999996
5,6,5,8,8,3,3,9.699999999999998
4,3,6,6,6,8,4,10.219999999999995
4,5,5,5,8,5,5,79.82000000000001
8,3,6,4,4,6,4,10.060000000000002
3,5,3,5,8,4,8,9.199999999999998
6,8,8,3,4,3,8,9.740000000000004
4,8,4,6,4,6,3,9.519999999999996
8,3,8,8,8,6,4,9.999999999999998
5,4,8,3,8,5,3,9.819999999999995
5,3,4,4,8,6,6,10.140000000000004
3,5,3,5,5,8,4,9.919999999999995
8,5,3,8,3,4,5,10.540000000000004
3,5,5,4,5,6,5,30.620000000000005
6,8,8,4,3,3,6,9.879999999999999
6,4,4,4,5,6,5,40.78000000000001
4,3,8,3,5,4,4,9.799999999999997
5,5,8,5,8,4,4,25.660000000000004
4,6,6,4,5,6,5,62.72
4,8,6,8,8,6,8,91.44
5,5,3,3,3,6,8,9.540000000000004
4,6,4,3,5,8,4,10.740000000000006
5,4,5,3,3,5,3,9.319999999999995
4,6,3,8,5,8,3,9.879999999999999
5,5,4,8,8,6,5,76.3
4,5,6,5,3,3,3,9.819999999999995
3,3,4,6,3,8,5,10.740000000000006
5,8,3,6,3,4,3,9.899999999999999
4,5,4,8,5,5,3,9.199999999999998
8,8,8,3,5,4,3,9.740000000000004
4,8,6,8,3,3,8,10.140000000000004
3,6,5,5,8,3,8,9.68
3,8,5,5,3,5,6,9.899999999999999
3,3,8,6,5,8,6,20.26
6,6,4,8,8,8,4,55.76
8,4,4,3,8,5,3,9.819999999999995
5,4,6,8,8,8,8,84.48
8,4,8,6,4,3,6,10.18
8,8,8,6,8,3,5,10.019999999999996
3,8,4,5,4,3,5,10.499999999999998
4,3,6,6,4,4,8,10.499999999999998
6,8,5,4,5,5,5,63.260000000000005
4,8,4,3,8,5,6,10.099999999999998
3,5,8,3,3,5,5,10.040000000000004
3,8,4,4,3,3,8,9.68
6,8,4,4,8,4,3,10.060000000000002
4,6,3,6,4,5,6,9.78
5,5,6,6,4,6,4,33.42
8,4,6,6,8,6,8,82.86
3,6,5,5,5,4,6,31.020000000000003
5,6,3,5,5,8,3,10.18
6,3,6,3,4,3,3,9.840000000000003
3,8,4,3,8,6,6,9.819999999999995
5,6,6,4,6,3,5,9.819999999999995
5,6,8,3,4,6,5,10.140000000000004
5,3,5,6,4,5,4,10.240000000000006
3,6,5,4,3,5,8,9.799999999999997
4,6,4,8,6,4,4,9.78
8,8,5,5,4,4,5,24.760000000000005
5,3,5,6,5,4,5,10.340000000000005
3,5,5,4,3,6,4,10.08
3,4,8,3,8,8,4,9.560000000000002
3,4,5,3,5,8,6,9.699999999999998
5,4,4,5,4,4,3,10.060000000000002
4,4,8,6,3,5,8,10.140000000000004
6,3,8,6,5,5,6,34.38
4,8,3,4,4,8,5,9.540000000000004
3,5,4,6,3,5,5,10.240000000000006
6,6,8,4,5,3,5,9.999999999999998
3,3,3,6,8,8,5,9.440000000000005
4,3,6,4,5,8,8,16.180000000000007
6,6,5,8,5,3,6,9.960000000000003
3,8,3,6,6,3,8,9.879999999999999
3,5,4,6,6,8,4,15.439999999999998
5,3,8,6,3,3,4,9.78
4,8,6,8,5,3,5,9.819999999999995
3,5,5,6,4,8,8,37.3
5,5,8,8,6,3,6,9.860000000000003
6,3,3,5,5,8,6,9.98
4,3,8,6,8,3,4,9.98
5,6,3,4,3,5,4,10.099999999999998
6,8,6,8,4,6,5,70.24000000000001
6,5,6,3,6,5,6,12.839999999999996
3,6,8,5,3,5,5,10.340000000000005
3,6,4,5,8,3,6,10.799999999999999
5,3,5,5,6,6,8,45.28
4,5,4,6,3,3,6,10.160000000000002
4,6,3,8,6,4,3,9.199999999999998
4,8,5,8,4,4,3,9.819999999999995
4,8,3,5,4,6,5,9.58
4,4,6,3,3,3,8,10.460000000000003
3,6,4,3,5,3,3,9.28
8,4,5,8,3,8,4,9.099999999999998
3,5,3,6,8,4,3,9.299999999999997
5,5,3,6,5,4,6,9.899999999999999
8,4,5,8,5,6,3,9.78
6,5,8,3,6,6,8,43.17999999999999
8,5,6,5,8,5,5,84.02000000000001
3,8,8,3,8,4,5,10.419999999999996
5,6,5,6,8,5,5,87.24000000000001
8,8,3,4,3,4,3,10.58
5,5,6,5,5,8,5,80.56
8,5,6,4,5,8,5,65.08
4,3,4,4,5,5,4,10.740000000000006
6,5,6,8,3,8,8,10.08
6,3,6,8,6,5,5,35.919999999999995
5,3,5,8,4,5,4,10.08
6,3,6,5,6,8,5,40.38
8,6,6,6,5,8,4,70.82
6,3,4,8,4,3,8,9.899999999999999
3,8,5,6,6,6,6,66.02
3,8,5,4,4,8,6,10.440000000000005
3,3,3,6,5,6,4,9.879999999999999
8,3,8,5,6,3,5,9.879999999999999
6,4,5,6,6,6,6,79.96
3,6,8,5,5,8,3,10.619999999999996
3,4,6,5,3,8,4,9.899999999999999
6,3,3,3,8,4,4,9.960000000000003
8,3,4,3,5,3,4,10.499999999999998
6,6,6,4,6,8,4,34.98
5,4,8,8,6,6,5,82.64
4,8,4,4,3,6,5,10.040000000000004
6,3,5,8,6,8,8,48.540000000000006
5,4,5,3,4,3,4,10.060000000000002
4,8,8,8,3,6,6,9.119999999999994
3,5,5,5,5,4,3,10.38
3,4,3,8,5,4,4,9.760000000000002
8,8,6,8,8,8,5,92.24
4,3,5,3,6,5,8,10.360000000000003
8,5,6,4,8,4,8,35.019999999999996
3,5,5,4,4,5,5,9.78
8,8,3,8,8,5,5,9.960000000000003
5,5,6,5,3,4,8,9.860000000000003
5,3,5,3,4,5,5,9.740000000000004
5,6,8,3,4,4,4,9.46
5,6,3,6,3,8,4,10.099999999999998
5,3,8,8,5,3,3,9.440000000000005
6,6,4,6,4,3,3,10.060000000000002
5,5,4,5,6,5,4,44.3
3,3,5,6,5,3,4,9.960000000000003
8,5,4,4,8,8,6,58.18
4,6,5,6,5,4,5,60.78
6,8,6,8,6,6,5,91.0
6,6,5,6,8,4,6,71.54
3,8,3,4,6,3,8,9.819999999999995
6,8,5,5,8,8,8,87.38
6,3,3,5,6,5,4,9.519999999999996
6,4,6,8,8,5,4,56.24
6,4,6,5,5,8,6,75.28
8,3,6,8,5,4,4,9.919999999999995
8,5,5,6,8,4,8,71.38
5,6,3,5,6,8,6,38.63999999999999
3,8,5,4,4,6,4,10.299999999999997
5,5,3,3,8,4,3,10.280000000000001
4,3,4,8,4,5,6,9.640000000000004
5,4,8,3,6,4,3,9.28
3,4,5,3,4,3,8,9.160000000000002
4,4,5,6,3,8,3,10.099999999999998
3,3,5,5,6,8,5,20.76
5,5,8,8,4,4,3,9.699999999999998
3,4,4,5,8,3,8,9.740000000000004
8,6,6,4,5,8,8,67.96
5,6,6,8,3,3,4,9.919999999999995
5,8,8,8,5,6,3,9.440000000000005
6,5,6,6,5,8,8,85.24000000000001
3,4,6,3,6,8,6,9.719999999999995
3,8,3,6,6,5,4,10.060000000000002
6,4,4,4,4,3,6,10.18
4,5,5,8,4,3,4,10.119999999999996
4,5,4,8,6,5,5,71.50000000000001
4,6,8,4,3,5,6,9.899999999999999
5,3,5,3,5,3,6,10.08
5,3,5,5,8,3,3,9.699999999999998
3,8,4,5,6,3,5,9.560000000000002
3,8,5,6,8,4,4,10.460000000000003
6,6,3,5,8,6,6,38.580000000000005
6,6,8,5,5,5,3,9.299999999999997
5,4,6,8,5,5,4,47.86
6,6,5,5,4,5,8,65.02
5,8,8,3,4,4,5,9.98
6,4,8,6,8,6,5,82.26
3,5,3,8,4,5,4,10.519999999999996
4,6,4,5,6,6,4,42.26
5,5,8,8,4,3,5,9.560000000000002
5,3,4,5,4,6,5,10.38
6,6,3,3,3,3,5,10.260000000000002
4,4,5,3,3,6,4,10.099999999999998
8,8,4,3,5,8,5,9.540000000000004
8,6,4,6,6,6,3,9.719999999999995
3,6,8,3,5,3,5,10.419999999999996
6,6,4,5,8,8,8,74.58
6,6,3,8,6,5,8,31.34
6,5,4,5,6,4,8,51.459999999999994
6,6,6,8,3,8,8,10.040000000000004
6,6,5,5,3,5,4,10.18
3,5,4,4,8,8,3,9.940000000000005
3,4,8,5,6,6,6,56.24
8,3,3,4,5,5,6,9.899999999999999
4,5,4,4,3,4,5,9.999999999999998
4,4,6,4,4,4,5,9.599999999999998
6,6,4,8,8,3,5,10.119999999999996
5,5,3,4,5,3,3,10.499999999999998
3,5,6,4,8,3,5,9.840000000000003
6,6,4,8,4,6,3,9.760000000000002
6,8,4,5,4,5,5,47.08
3,3,8,3,6,3,8,9.340000000000003
8,6,5,3,5,4,8,10.099999999999998
4,4,3,6,5,8,6,14.400000000000002
4,5,6,6,4,3,4,9.919999999999995
3,3,6,6,3,3,8,10.060000000000002
5,4,8,8,6,3,3,10.660000000000004
5,6,4,4,5,5,3,9.999999999999998
4,6,3,8,8,4,3,10.18
6,6,3,5,3,4,6,10.519999999999996
3,3,4,3,5,6,5,10.119999999999996
8,6,6,8,5,6,3,9.999999999999998
8,5,5,3,8,4,8,10.099999999999998
5,3,5,6,4,6,5,9.119999999999994
4,4,8,5,4,3,5,10.060000000000002
3,5,6,8,6,6,3,9.999999999999998
4,6,8,8,4,3,3,9.58
8,4,5,8,8,8,6,82.98
8,8,6,6,6,8,6,90.82000000000001
3,4,3,4,3,4,4,9.299999999999997
5,3,3,6,6,5,6,9.499999999999996
5,5,3,8,5,5,3,10.499999999999998
6,8,5,6,3,8,3,9.860000000000003
3,4,5,6,3,5,3,9.899999999999999
8,5,6,5,6,6,3,9.760000000000002
5,6,8,6,4,8,5,67.16
4,8,5,6,3,3,8,10.099999999999998
8,3,4,3,6,4,6,9.740000000000004
4,4,5,5,5,5,8,68.16
4,5,6,4,5,5,6,61.620000000000005
3,3,5,3,5,3,4,9.98
3,4,4,6,3,8,5,10.140000000000004
8,4,5,4,5,6,6,55.82
6,5,6,3,6,8,4,9.719999999999995
3,3,6,5,5,4,5,9.98
6,5,8,6,5,5,8,84.68
3,5,6,8,3,3,5,9.519999999999996
3,8,8,3,8,5,5,10.08
6,5,6,3,4,8,6,9.719999999999995
8,5,6,5,6,5,4,66.5
6,4,3,6,6,6,6,32.58
4,6,8,8,4,6,8,68.39999999999999
4,4,3,6,5,6,5,9.46
8,5,5,4,5,8,8,64.08
6,4,5,5,8,4,4,10.440000000000005
3,3,5,8,8,3,8,8.879999999999999
5,4,6,6,4,3,5,10.319999999999997
4,4,8,8,4,4,3,10.140000000000004
5,4,4,5,4,3,6,9.719999999999995
8,6,3,8,5,3,6,10.540000000000004
3,8,4,3,5,3,4,9.899999999999999
3,5,3,3,6,5,3,9.840000000000003
8,5,8,6,4,3,8,9.819999999999995
6,3,4,3,6,5,4,9.760000000000002
3,8,5,6,5,8,3,9.740000000000004
3,4,4,5,5,3,6,9.940000000000005
5,3,3,6,6,8,5,9.299999999999997
4,5,4,3,6,5,3,9.98
6,6,3,3,4,8,4,10.340000000000005
3,8,3,8,3,5,4,9.879999999999999
4,4,8,6,5,6,6,76.38000000000001
5,4,6,4,3,4,8,10.260000000000002
4,8,6,6,4,4,6,28.559999999999995
3,8,3,8,8,4,6,10.260000000000002
5,8,6,4,4,3,5,9.140000000000004
3,4,4,3,3,3,3,9.760000000000002
4,6,6,4,8,8,3,10.08
5,5,8,5,6,6,5,84.52
6,4,5,5,8,5,4,48.019999999999996
8,6,6,5,8,3,6,9.819999999999995
8,3,4,4,3,4,6,9.879999999999999
6,3,4,6,4,3,6,10.019999999999996
6,4,3,4,5,8,8,9.599999999999998
6,8,5,3,8,5,5,10.599999999999998
3,4,8,6,5,8,6,57.04
8,5,5,5,4,5,3,9.98
4,6,3,4,3,3,3,10.360000000000003
5,8,5,8,3,8,8,10.18
5,5,4,6,5,5,4,45.64
3,3,3,3,4,6,3,10.319999999999997
5,3,8,3,4,5,6,9.940000000000005
4,8,3,5,8,4,3,10.319999999999997
5,8,4,8,6,3,8,10.08
3,4,3,4,4,4,4,10.499999999999998
8,6,5,6,6,8,8,90.0
8,8,5,5,8,6,3,9.999999999999998
6,5,4,3,4,6,6,10.219999999999995
8,3,8,4,3,5,4,9.699999999999998
5,4,8,8,8,3,8,10.780000000000001
5,6,3,6,4,8,4,9.740000000000004
6,5,3,3,3,8,3,10.499999999999998
3,6,3,4,8,5,6,10.140000000000004
6,3,8,4,5,3,8,9.640000000000004
4,4,3,4,4,8,8,10.019999999999996
5,4,8,6,6,5,6,80.67999999999999
5,8,5,5,6,8,8,85.46000000000001
6,4,5,5,5,6,5,71.92
8,8,6,3,5,6,3,10.540000000000004
4,8,6,4,4,4,3,10.299999999999997
5,8,8,5,5,4,6,67.7
8,5,6,3,8,8,3,9.799999999999997
8,3,6,8,3,4,4,10.319999999999997
4,3,5,4,4,5,8,9.940000000000005
5,5,6,6,6,6,8,88.53999999999999
3,5,5,6,8,3,6,10.160000000000002
6,3,6,3,6,4,8,9.719999999999995
6,3,3,5,4,3,8,9.840000000000003
5,3,3,5,6,5,6,9.319999999999995
5,3,5,3,3,4,5,10.219999999999995
3,3,6,5,8,6,3,10.299999999999997
8,3,8,8,5,8,3,10.340000000000005
3,8,3,4,4,8,8,9.28
3,4,8,4,3,8,6,9.699999999999998
8,3,4,3,4,4,8,9.640000000000004
8,6,6,4,4,3,5,10.340000000000005
8,6,8,3,6,3,8,10.119999999999996
6,3,4,3,8,4,8,9.940000000000005
3,5,3,4,6,5,3,10.199999999999998
4,8,3,6,6,8,3,10.340000000000005
5,8,6,5,3,4,6,9.760000000000002
6,3,3,5,6,6,4,10.08
